num ;dist(asec);            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  spec. type   
108 ;    514.41;V* V1210 Tau                       ;gD*;03 47 04.2131220000 +23 59 42.773483436;     ~   ;8.67     ;8.38     ;     ~   ;F0V            
109 ;    514.55;CXOP J034646.6+240757              ;Q? ;03 46 46.65 +24 07 57.6                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
110 ;    516.99;[KRL2001] J034657.40+241307.10     ;X  ;03 46 57.40 +24 13 07.1                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
111 ;    526.45;[SCG94] X 150                      ;?  ;03 46 45.8 +24 06 00                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
112 ;    526.79;Cl Melotte 22 1680                 ;*  ;03 48 01.7232353664 +24 05 16.463132232;     ~   ;13.51    ;12.01    ;11.55    ;G5             
113 ;    532.86;CXOP J034648.1+240334              ;X  ;03 46 48.11 +24 03 34.1                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
114 ;    533.04;[KRL2001] J034648.08+240334.63     ;X  ;03 46 48.08 +24 03 34.6                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
115 ;    533.11;[KRL2001] J034646.01+240503.26     ;X  ;03 46 46.01 +24 05 03.3                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
116 ;    552.22;Cl* Melotte 22 DH 496              ;Er*;03 47 09.4123081704 +24 15 34.881739632;     ~   ;     ~   ;19.71    ;     ~   ;M5             
117 ;    552.40;Cl Melotte 22 1458                 ;*  ;03 47 32.5337689080 +23 58 00.111043848;     ~   ;17       ;13.47    ;     ~   ;~              
118 ;    553.66;CXOP J034655.0+240033              ;X  ;03 46 55.02 +24 00 34.0                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
119 ;    554.53;Cl* Melotte 22 SHF 41              ;*  ;03 47 10.6480042776 +23 58 16.499050680;     ~   ;     ~   ;     ~   ;     ~   ;~              
120 ;    556.75;CXOP J034655.3+240024              ;X  ;03 46 55.39 +24 00 24.5                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
121 ;    571.51;CXOP J034652.9+240037              ;X  ;03 46 52.99 +24 00 37.6                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
122 ;    571.69;Cl Melotte 22 1201                 ;*  ;03 46 50.81 +24 01 13.3                ;     ~   ;15.3     ;     ~   ;     ~   ;~              
123 ;    573.21;V* QX Tau                          ;Y*O;03 47 41.4393422685 +23 58 18.939833580;     ~   ;14.85    ;13.58    ;     ~   ;K8e            
124 ;    578.17;Cl* Melotte 22 VM 13               ;*  ;03 46 42.0 +24 06 00                   ;     ~   ;9.6      ;     ~   ;     ~   ;~              
125 ;    578.92;Cl Melotte 22 1259                 ;*  ;03 47 00.2882279544 +23 59 00.772928124;     ~   ;12.86    ;     ~   ;     ~   ;G7III          
126 ;    579.53;Cl Melotte 22 1695                 ;PM*;03 48 04.1628922584 +24 03 57.281879160;     ~   ;16.88    ;15.45    ;15.64    ;~              
127 ;    580.55;UGCS J034806.41+240651.6           ;PM*;03 48 06.4002674760 +24 06 51.895848384;     ~   ;     ~   ;     ~   ;     ~   ;~              
128 ;    583.60;Cl Melotte 22 1713                 ;*  ;03 48 04.9538546760 +24 04 18.428108952;     ~   ;     ~   ;11.95    ;     ~   ;~              
129 ;    583.87;Cl Melotte 22 1617                 ;*  ;03 47 53.483 +23 59 58.30              ;     ~   ;     ~   ;14.46    ;     ~   ;~              
130 ;    588.28;Wolf 1284                          ;PM*;03 47 30.2998779672 +23 57 18.082755900;     ~   ;14.01    ;13.10    ;12.91    ;~              
131 ;    590.63;[KRL2001] 30                       ;X  ;03 46 40.99 +24 07 46.3                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
132 ;    591.98;CXOP J034640.8+240746              ;X  ;03 46 40.89 +24 07 46.1                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
133 ;    597.98;HD 23713                           ;** ;03 48 07.1684166120 +24 08 31.430682996;     ~   ;9.86     ;9.43     ;9.32     ;F7V            
134 ;    600.52;UGCS J034722.27+241659.8           ;PM*;03 47 22.2664839864 +24 17 00.051522468;     ~   ;     ~   ;     ~   ;     ~   ;~              
135 ;    601.22;[SCG94] X 148                      ;?  ;03 46 41.5 +24 04 29                   ;     ~   ;     ~   ;     ~   ;     ~   ;~              
136 ;    602.34;CXOP J034647.2+240128              ;Q? ;03 46 47.27 +24 01 28.7                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
137 ;    602.68;[KRL2001] 24                       ;X  ;03 46 47.23 +24 01 28.9                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
138 ;    603.43;UGCS J034722.25+241703.1           ;*  ;03 47 22.2589554408 +24 17 02.960030508;     ~   ;     ~   ;     ~   ;     ~   ;~              
139 ;    603.46;CXOP J034652.0+240005              ;Q? ;03 46 52.00 +24 00 05.2                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
140 ;    604.13;CXOP J034641.3+240426              ;X  ;03 46 41.33 +24 04 26.4                ;     ~   ;     ~   ;     ~   ;     ~   ;~              
