num ;dist(asec);            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;     spec. type      
2252;   3031.22;V* CP Cnc                          ;Er*;08 43 22.4029228752 +19 12 00.749456928;     ~   ;     ~   ;     ~   ;     ~   ;M2.7                 
2253;   3031.23;LAMOST J083828.47+185727.7         ;QSO;08 38 28.4805232776 +18 57 27.699754176;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2254;   3032.77;[BBG2010] 71                       ;LM*;08 37 48.0332413344 +20 14 48.563786436;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2255;   3033.46;Cl* NGC 2632 JS 311                ;Er*;08 39 43.6064557200 +20 29 39.605960472;     ~   ;20.93    ;17.99    ;     ~   ;M3.5V                
2256;   3038.75;Cl* NGC 2632 S 39                  ;*  ;08 38 16.0819958808 +18 59 19.569665436;     ~   ;12.02    ;11.38    ;     ~   ;~                    
2257;   3039.09;V* BY Cnc                          ;dS*;08 42 10.8071828616 +18 56 03.761716128;     ~   ;8.09     ;7.91     ;     ~   ;A7Vn                 
2258;   3039.34;LB 1836                            ;blu;08 38 30.0 +20 23 00                   ;     ~   ;18.9     ;     ~   ;     ~   ;~                    
2259;   3041.46;2MASS J08420932+1855490            ;BD?;08 42 09.3215978640 +18 55 49.101740544;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2260;   3041.64;Cl* NGC 2632 KW 120                ;*  ;08 38 39.9226946856 +18 55 39.067861692;     ~   ;13.8     ;     ~   ;     ~   ;~                    
2261;   3042.77;SDSS J084322.78+191148.1           ;QSO;08 43 22.787 +19 11 48.13              ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2262;   3044.53;2MASX J08385006+1854217            ;EmG;08 38 50.0454006120 +18 54 21.447941760;     ~   ;15.6     ;     ~   ;     ~   ;~                    
2263;   3045.89;Cl* NGC 2632 KW 497                ;*  ;08 43 10.3860684696 +19 07 47.212627980;     ~   ;14.3     ;     ~   ;     ~   ;~                    
2264;   3047.26;2MASS J08433604+2003149            ;PM*;08 43 36.0423099504 +20 03 14.814363564;     ~   ;     ~   ;     ~   ;     ~   ;M5                   
2265;   3048.72;2MASS J08405557+2030160            ;NIR;08 40 55.5469428600 +20 30 16.157860020;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2266;   3049.30;Cl* NGC 2632 KW 24                 ;*  ;08 37 10.0886982672 +19 17 46.232950956;     ~   ;13.8     ;     ~   ;     ~   ;~                    
2267;   3051.40;Cl* NGC 2632 S 214                 ;*  ;08 43 29.8507858008 +19 14 10.386884004;     ~   ;12.37    ;12.29    ;     ~   ;~                    
2268;   3051.80;2MASS J08432399+2008136            ;*  ;08 43 23.9947388400 +20 08 13.712720064;     ~   ;     ~   ;     ~   ;     ~   ;K5                   
2269;   3054.02;Cl* NGC 2632 KW 123                ;*  ;08 38 48.0725276784 +20 25 38.589270960;     ~   ;13.7     ;     ~   ;     ~   ;~                    
2270;   3055.49;Gaia DR2 662784307850315648        ;*  ;08 36 49.5830313111 +19 33 23.644917538;     ~   ;     ~   ;     ~   ;     ~   ;~                    
2271;   3055.83;LB 1886                            ;blu;08 44 00.0 +19 43 00                   ;     ~   ;15.9     ;     ~   ;     ~   ;~                    
2272;   3055.86;Cl* NGC 2632 JC 75                 ;Ro*;08 36 49.5667811256 +19 33 22.598382780;     ~   ;15.403   ;14.013   ;     ~   ;K6V                  
2273;   3057.78;2MASS J08391462+1851443            ;LM*;08 39 14.6224589088 +18 51 44.320188852;     ~   ;     ~   ;     ~   ;     ~   ;M2V                  
2274;   3058.95;Cl* NGC 2632 HSHJ 338              ;*  ;08 40 55.7182315152 +18 49 34.206442464;     ~   ;     ~   ;     ~   ;     ~   ;M3.4                 
2275;   3061.89;2MASS J08375697+2017336            ;LM*;08 37 56.9602216536 +20 17 33.561415860;     ~   ;     ~   ;     ~   ;     ~   ;M4V                  
2276;   3062.11;Cl* NGC 2632 JC 219                ;*  ;08 40 39.5219214849 +18 49 05.795171539;     ~   ;14.45    ;14.11    ;     ~   ;K7.0                 
